Variable Name,Definition,Coding Scheme/Values,Data Format,Notes/Instructions
usecase_inner_speech,Indicates if the app addresses inner speech,"1 = Yes, 0 = No",Boolean,"1 for inner speech, 0 otherwise."
usecase_loneliness_and_companionship,Indicates if the app addresses loneliness and companionship,"1 = Yes, 0 = No",Boolean,"1 for loneliness and companionship, 0 otherwise."
usecase_mental_health,Indicates if the app addresses mental health,"1 = Yes, 0 = No",Boolean,"1 for mental health, 0 otherwise."
usecase_mood,Indicates if the app addresses mood,"1 = Yes, 0 = No",Boolean,"1 for mood, 0 otherwise."
usecase_obsessive–compulsive_disorder,Indicates if the app addresses obsessive-compulsive disorder,"1 = Yes, 0 = No",Boolean,"1 for obsessive-compulsive disorder, 0 otherwise."
usecase_pain,Indicates if the app addresses pain,"1 = Yes, 0 = No",Boolean,"1 for pain, 0 otherwise."
usecase_panic_disorder_,Indicates if the app addresses panic disorder,"1 = Yes, 0 = No",Boolean,"1 for panic disorder, 0 otherwise."
usecase_parental_behavior,Indicates if the app addresses parental behavior,"1 = Yes, 0 = No",Boolean,"1 for parental behavior, 0 otherwise."
usecase_parkinson,Indicates if the app addresses Parkinson's disease,"1 = Yes, 0 = No",Boolean,"1 for Parkinson's disease, 0 otherwise."
usecase_physical_activities,Indicates if the app addresses physical activities,"1 = Yes, 0 = No",Boolean,"1 for physical activities, 0 otherwise."
usecase_psychological_well-being,Indicates if the app addresses psychological well-being,"1 = Yes, 0 = No",Boolean,"1 for psychological well-being, 0 otherwise."
usecase_psychosis,Indicates if the app addresses psychosis,"1 = Yes, 0 = No",Boolean,"1 for psychosis, 0 otherwise."
usecase_psychotherapy,Indicates if the app addresses psychotherapy,"1 = Yes, 0 = No",Boolean,"1 for psychotherapy, 0 otherwise."
usecase_raw,Description of use cases for the app,Text,Text,Raw notes on the use cases.
usecase_schizophrenia,Indicates if the app addresses schizophrenia,"1 = Yes, 0 = No",Boolean,"1 for schizophrenia, 0 otherwise."
usecase_sleep,Indicates if the app addresses sleep issues,"1 = Yes, 0 = No",Boolean,"1 for sleep issues, 0 otherwise."
usecase_smoking,Indicates if the app addresses smoking,"1 = Yes, 0 = No",Boolean,"1 for smoking, 0 otherwise."
usecase_social_media_use_(387),Indicates if the app addresses social media use,"1 = Yes, 0 = No",Boolean,"1 for social media use, 0 otherwise."
usecase_stress,Indicates if the app addresses stress,"1 = Yes, 0 = No",Boolean,"1 for stress, 0 otherwise."
usecase_suicide_attempt,Indicates if the app addresses suicide attempts,"1 = Yes, 0 = No",Boolean,"1 for suicide attempts, 0 otherwise."
usecase_sum,Total number of use cases,Integer,Integer,Count of use cases for each app.
usecase_tinnitus,Indicates if the app addresses tinnitus,"1 = Yes, 0 = No",Boolean,"1 for tinnitus, 0 otherwise."
website_raw,Indicates if the app has a website,"1 = Yes, 0 = No",Boolean,"1 for website availability, 0 otherwise."
website_any,Indicates if any website availability,"1 = Yes, 0 = No",Boolean,"1 for website availability, 0 otherwise."
