"Variable Name","Definition","Coding Scheme/Values","Data Format","Notes/Instructions"
"paper_found_2013","Indicates if papers from 2012 were found","Integer","Integer","Count of papers found in 2012"
"paper_found_2014","Indicates if papers from 2013 were found","Integer","Integer","Count of papers found in 2013"
"paper_found_2015","Indicates if papers from 2014 were found","Integer","Integer","Count of papers found in 2014"
"paper_found_2016","Indicates if papers from 2015 were found","Integer","Integer","Count of papers found in 2015"
"paper_found_2017","Indicates if papers from 2016 were found","Integer","Integer","Count of papers found in 2016"
"paper_found_2018","Indicates if papers from 2017 were found","Integer","Integer","Count of papers found in 2017"
"paper_found_2019","Indicates if papers from 2018 were found","Integer","Integer","Count of papers found in 2018"
"paper_found_2020","Indicates if papers from 2019 were found","Integer","Integer","Count of papers found in 2019"
"paper_found_raw","Indicates if papers from 2020 were found","Integer","Integer","Count of papers found in 2020"
"paper_used","Number of papers used in the study","Integer","Integer","Count of papers used."
"scalable_raw","Indicates if the application is scalable","1 = Yes, 0 = No","Boolean","1 for scalable, 0 otherwise."
"sensor_acc","Indicates if accelerometer data is collected","1 = Yes, 0 = No","Boolean","1 for accelerometer data collection, 0 otherwise."
"sensor_baro","Indicates if barometer data is collected","1 = Yes, 0 = No","Boolean","1 for barometer data collection, 0 otherwise."
"sensor_blue","Indicates if Bluetooth data is collected","1 = Yes, 0 = No","Boolean","1 for Bluetooth data collection, 0 otherwise."
"sensor_c02","Indicates if CO2 data is collected","1 = Yes, 0 = No","Boolean","1 for CO2 data collection, 0 otherwise."
"sensor_cam","Indicates if camera data is collected","1 = Yes, 0 = No","Boolean","1 for camera data collection, 0 otherwise."
"sensor_cell","Indicates if cellular data is collected","1 = Yes, 0 = No","Boolean","1 for cellular data collection, 0 otherwise."
"sensor_external","Indicates if external sensors are used","1 = Yes, 0 = No","Boolean","1 for external sensors, 0 otherwise."
"sensor_gps","Indicates if GPS data is collected","1 = Yes, 0 = No","Boolean","1 for GPS data collection, 0 otherwise."
"sensor_gyro","Indicates if gyroscope data is collected","1 = Yes, 0 = No","Boolean","1 for gyroscope data collection, 0 otherwise."
"sensor_hygro","Indicates if hygrometer data is collected","1 = Yes, 0 = No","Boolean","1 for hygrometer data collection, 0 otherwise."
"sensor_magneto","Indicates if magnetometer data is collected","1 = Yes, 0 = No","Boolean","1 for magnetometer data collection, 0 otherwise."
"sensor_mic","Indicates if microphone data is collected","1 = Yes, 0 = No","Boolean","1 for microphone data collection, 0 otherwise."
"sensor_photometer","Indicates if photometer data is collected","1 = Yes, 0 = No","Boolean","1 for photometer data collection, 0 otherwise."
"sensor_proximity","Indicates if proximity data is collected","1 = Yes, 0 = No","Boolean","1 for proximity data collection, 0 otherwise."
"sensor_sum","Total number of sensors used","Integer","Integer","Count of sensors for each app."
"sensor_survey","Indicates if survey data is collected","1 = Yes, 0 = No","Boolean","1 for survey data collection, 0 otherwise."
"sensor_thero","Indicates if thermometer data is collected","1 = Yes, 0 = No","Boolean","1 for thermometer data collection, 0 otherwise."
"sensor_wifi","Indicates if WiFi data is collected","1 = Yes, 0 = No","Boolean","1 for WiFi data collection, 0 otherwise."
"study_raw","Indicates if a study was conducted","1 = Yes, 0 = No","Boolean","1 for study conducted, 0 otherwise."
"study_recruitment_raw","Indicates the recruitment method used","Text","Text","Raw notes on the recruitment method."
"usecase_raw","Description of use cases for the application","Text","Text","Raw notes on the use cases."
"website_raw","Indicates if the application has a website","1 = Yes, 0 = No","Boolean","1 for website availability, 0 otherwise."
"website_unknown","Indicates if the website status is unknown","1 = Yes, 0 = No","Boolean","1 for unknown website status, 0 otherwise."
